Name,Socket,Chipset,MaxRAMSpeed,MemoryType,SupportedStorageInterfaces,SupportedFormFactors,Formfactor
Gigabyte GA-A320M-S2H,AM4,AMD A320,,,,,Micro-ATX
Asus Z170 Pro Gaming,LGA 1151,Intel Z170,,,,,ATX
Asus Prime A320M-K,AM4,AMD A320,,,,,Micro-ATX
Asus Z170-A,LGA 1151,Intel Z170,,,,,ATX
Asrock B450M Steel Legend,AM4,AMD B450,,,,,Micro-ATX
Asus EX-A320M-Gaming,AM4,AMD A320,,,,,Micro-ATX
Asrock A320M-HDV,AM4,AMD A320,,,,,Micro-ATX
Asus ROG Maximus VII Hero,LGA 1150,Intel Z97,,,,,ATX
Asus Z170-P,LGA 1151,Intel Z170,,,,,ATX
Asus Prime Z370-P,LGA 1151,Intel Z370,,,,,ATX
Gigabyte GA-H110M-DS2,LGA 1151,Intel H110,,,,,Micro-ATX
Gigabyte B450 Aorus Elite,AM4,AMD B450,,,,,ATX
Gigabyte Z390 UD,LGA 1151,Intel Z390,,,,,ATX
Colorful C.A320M-K Pro V14,AM4,AMD A320,,,,,Micro-ATX
Gigabyte Z370P D3,LGA 1151,Intel Z370,,,,,ATX
MSI Z390-A Pro,LGA 1151,Intel Z390,,,,,ATX
Gigabyte GA-H110-D3A,LGA 1151,Intel H110,,,,,ATX
Asus Sabertooth 990FX R2.0,AM3+,AMD 990FX,,,,,ATX
Asus Z170-K,LGA 1151,Intel Z170,,,,,ATX
Gigabyte GA-B250M-D3H,LGA 1151,Intel B250,,,,,Micro-ATX
Gigabyte B450M DS3H,AM4,AMD B450,,,,,Micro-ATX
Asus Prime B350-Plus,AM4,AMD B350,,,,,ATX
Asus ROG Crosshair V Formula-Z,AM3+,AMD 990FX,,,,,ATX
Asrock B450 Steel Legend,AM4,AMD B450,,,,,ATX
Asrock B550M Pro4,AM4,AMD B550,,,,,Micro-ATX
Asus ROG Maximus VIII Ranger,LGA 1151,Intel Z170,,,,,ATX
Asus Prime Z390-P,LGA 1151,Intel Z390,,,,,ATX
