model,type,speed,Capacity (GB),Form Factor,DRAM Configuration
Kingston KF556C40-32 32GB,DDR5,19150,32,SO-DIMM,x4
G Skill Intl F5-6400J3239G16G 16GB,DDR5,17900,16,SO-DIMM,x16
G Skill Intl F5-5600J3636C16G 16GB,DDR5,17650,16,UDIM (Unbuffered Dual In-Line Memory Module),x16
G Skill Intl F5-6000U3636E16G 16GB,DDR5,17050,16,SO-DIMM,Single Channel
Corsair CMT64GX5M2B5200C40 32GB,DDR5,15850,32,SO-DIMM,Dual Channel
Kingston 9905783-025.A01G 16GB,DDR5,16450,16,SO-DIMM,Single Rank x8
Team Group Inc. UD5-6400 16GB,DDR5,16200,16,SO-DIMM,Dual Channel
Kingston KF560C40-16 16GB,DDR5,16550,16,SO-DIMM,Dual In-Line Memory Module (DIMM)
Corsair CMT32GX5M2B5600C36 16GB,DDR5,16150,16,SO-DIMM,Dual Channel
Corsair CMT32GX5M2X6200C36 16GB,DDR5,15850,16,SO-DIMM,Dual Channel
A-DATA Technology AX5U6000C4016G-B 16GB,DDR5,16000,16,SO-DIMM,x1
Corsair CMK32GX5M2B5600C36 16GB,DDR5,15700,16,UDIM (Unbuffered Dual In-Line Memory Module),XMP 1.3
G Skill Intl F5-6000U4040E16G 16GB,DDR5,15850,16,SO-DIMM,Dual Channel
Kingston KF556C40-8 8GB,DDR5,15750,8,SO-DIMM,Unbuffered
G Skill Intl F5-6000J3636F16G 16GB,DDR5,15350,16,SO-DIMM,Dual Channel
Corsair CMK64GX5M2B5200C40 32GB,DDR5,15000,32,Quad Inline (QIC),x16
A-DATA Technology AD5U48008G-B 8GB,DDR5,15750,8,SO-DIMM,Single Rank x16
G Skill Intl F5-6000J4040F16G 16GB,DDR5,15100,16,SO-DIMM,Dual Channel
Kingston KF548C38-16 16GB,DDR5,15300,16,SO-DIMM,x1
Corsair CMT32GX5M2X5600C36 16GB,DDR5,14850,16,UDIM,Dual Channel
Kingston KF556C40-16 16GB,DDR5,15000,16,SO-DIMM,Dual In-Line Memory Module
Kingston KF552C40-16 16GB,DDR5,14950,16,SO-DIMM,Single Rank x8
Golden Empire CL34-38-38 D5-5200 16GB,DDR5,14350,16,SO-DIMM,Single Rank
Crucial Technology CT32G48C40U5.M16A1 32GB,DDR5,14200,32,SO-DIMM,2Rx8
