cpuName,socket,SupportedChipsets,MaxRAMSpeed,MemoryType,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores
AMD Ryzen Threadripper PRO 5995WX,sWRX8,,,,108822,,3330,,280,388.65,64
AMD EPYC 7763,SP3,,,,88338,12.1,2635,0.36,280,315.49,64
AMD EPYC 7J13,unknown,,,,86006,,2387,,,,64
AMD EPYC 7713,SP3,,,,85861,12.16,2727,0.39,225,381.6,64
AMD Ryzen Threadripper PRO 3995WX,sWRX8,,,,83971,12.33,2626,0.39,280,299.9,64
AMD Ryzen Threadripper 3990X,sTRX4,,,,81568,9.71,2569,0.31,280,291.31,64
AMD Ryzen Threadripper PRO 5975WX,sWRX8,,,,80842,,3340,,280,288.72,32
AMD EPYC 7B13,unknown,,,,77460,,2564,,,,60
AMD EPYC 7643,SP3,,,,76455,14.09,2695,0.5,225,339.8,48
AMD EPYC 7702,SP3,,,,71646,17.91,2097,0.52,200,358.23,64
AMD EPYC 7662,SP3,,,,71576,10.5,2054,0.3,225,318.12,64
AMD EPYC 7742,SP3,,,,68749,13.62,2145,0.43,225,305.55,64
AMD EPYC 75F3,SP3,,,,68505,,2775,,280,244.66,32
AMD Ryzen Threadripper PRO 5965WX,sWRX8,,,,68405,,3346,,280,244.3,24
AMD EPYC 7642,SP3,,,,67748,18.39,2155,0.59,225,301.1,48
AMD EPYC 7543P,SP3,,,,67144,22.39,2742,0.91,225,298.42,32
AMD EPYC 7R32,unknown,,,,64727,,1922,,,,48
AMD Ryzen Threadripper 3970X,sTRX4,,,,63835,21.29,2694,0.9,280,227.98,32
AMD Ryzen Threadripper PRO 3975WX,sWRX8,,,,63495,14.11,2666,0.59,280,226.77,32
Intel Xeon Platinum 8380 @ 2.30GHz,FCLGA4189,,,,62317,6.94,2385,0.27,270,230.81,40
AMD EPYC 7702P,SP3,,,,61689,17.63,2110,0.6,200,308.44,64
AMD EPYC 74F3,SP3,,,,60948,12.22,2975,0.6,240,253.95,24
AMD EPYC 7513,SP3,,,,59732,21.03,2447,0.86,200,298.66,32
AMD EPYC 7443P,SP3,,,,57666,38.44,2965,1.98,200,288.33,24
AMD EPYC 7542,SP3,,,,56728,31.69,2207,1.23,225,252.13,32
AMD EPYC 7543,SP3,,,,56562,15.04,2563,0.68,240,235.68,32
AMD EPYC 7532,SP3,,,,55358,,2137,,200,276.79,32
AMD Ryzen Threadripper 3960X,sTRX4,,,,54757,32.54,2678,1.59,280,195.56,24
Intel Xeon Platinum 8358 @ 2.60GHz,FCLGA4189,,,,54416,10.67,2382,0.47,250,217.67,32
AMD EPYC 7453,SP3,,,,53511,29.74,2580,1.43,225,237.83,28
Intel Xeon Gold 6348 @ 2.60GHz,FCLGA4189,,,,53112,16.74,2455,0.77,235,226.01,28
