Name,Socket,Chipset,MaxRAMSpeed,MemoryType,SupportedStorageInterfaces,SupportedFormFactors,Formfactor
Asrock 870 Extreme3 R2.0,AM3+,AMD 870,,,,,ATX
Asrock B150M Pro4S,LGA 1151,Intel B150,,,,,Micro-ATX
MSI Z170I Gaming Pro AC,LGA 1151,Intel Z170,,,,,Mini-ITX
Gigabyte GA-970A-D3P Rev. 1.0,AM3+,AMD 970,,,,,ATX
Biostar Hi-Fi A70U3P Rev. 1.2,FM2+,AMD A70M,,,,,Micro-ATX
Asrock 870 Extreme3,AM3,AMD 870,,,,,ATX
Asus B365M-Basalt,LGA 1151,Intel B365,,,,,Micro-ATX
Fujitsu D3410-B1,LGA 1151,Intel B150,,,,,Micro-ATX
Gigabyte Z370 UD3H,LGA 1151,Intel Z370,,,,,ATX
MSI Z97-G55 SLI,LGA 1150,Intel Z97,,,,,ATX
Asrock Fatal1ty Z170 Professional Gaming i7,LGA 1151,Intel Z170,,,,,ATX
Gigabyte GA-X150-Pro ECC,LGA 1151,Intel C232,,,,,ATX
Maxsun MS-Meterstone B250M Gaming,LGA 1151,Intel B250,,,,,Micro-ATX
Gigabyte GA-Z170N-Gaming 5 Rev. 1.0,LGA 1151,Intel Z170,,,,,Mini-ITX
Asrock Z97 OC Formula,,,,,,,
Biostar Hi-Fi H170Z3,LGA 1151,Intel H170,,,,,Micro-ATX
Biostar H110MG Pro D4,LGA 1151,Intel H110,,,,,Micro-ATX
Asrock Fatal1ty Z170 Gaming-ITX/ac,LGA 1151,Intel Z170,,,,,Mini-ITX
Asus B150-Pro,LGA 1151,Intel B150,,,,,ATX
MSI Z170A XPower Gaming Titanium Edition,LGA 1151,Intel Z170,,,,,ATX
Asrock H170A-X1,LGA 1151,Intel H170,,,,,ATX
Asrock H370M-ITX/ac,LGA 1151,Intel H370,,,,,Mini-ITX
Maxsun MS-H110D4L M.4,LGA 1151,Intel H110,,,,,Micro-ATX
Gigabyte GA-970A-D3 Rev. 1.4,AM3+,AMD 970,,,,,ATX
Asrock IMB-190,LGA 1151,Intel Q170,,,,,Thin Mini-ITX
