model,type,speed,Capacity (GB),Form Factor,DRAM Configuration
Kingston KH280C14D4/8X 8GB,DDR4,12650,8,,
Kingston ACR26D4S9S1KA-4 4GB,DDR4,12650,4,,
Crucial Technology CT8G4SFS824A.C8FJ 8GB,DDR4,12650,8,,
Avant Technology J642GU42J5213NF 16GB,DDR4,12600,16,,
Corsair CMWX8GD3000C15W4 8GB,DDR4,12600,8,,
Crucial Technology CT16G4SFD824A.M16FD 16GB,DDR4,12550,16,,
Team Group Inc. TEAMGROUP-SD4-2400 16GB,DDR4,12550,16,,
G Skill Intl F4-2400C15-8GRK 8GB,DDR4,12550,8,,
Kingston ACR26D4S9S1ME-4 4GB,DDR4,12450,4,,
Hynix Semiconductor (Hyundai Electronics) HMA41GU6MFR8N-TF 8GB,DDR4,12400,8,,
Crucial Technology BLS8G4D240FSA.16FAR 8GB,DDR4,12400,8,,
Kingston K821PJ-MIB 16GB,DDR4,12400,16,,
Wilk Elektronik S.A. GR3200S464L22S/8G 8GB,DDR4,12300,8,,
Golden Empire CL15-15-15 D4-2666 4GB,DDR4,12200,4,,
Crucial Technology CT16G4SFRA32A.M8FF 16GB,DDR4,12000,16,,
Mushkin 99[2/7/4]197F 8GB,DDR4,11850,8,,
Kingston 9905734-073.A00G 16GB,DDR4,15050,16,,
Kingston 9905701-021.A00G 16GB,DDR4,14100,16,,
Kingston 99P5750-021.A00G 16GB,DDR4,14100,16,,
Micron Technology 4ATF1G64AZ-3G2E1 8GB,DDR4,13800,8,,
Kingston MSI24D4U7D8MD-16 16GB,DDR4,13750,16,,
Samsung M378A1G44AB0-CWE 8GB,DDR4,13650,8,,
Wilk Elektronik S.A. GR2666S464L19S/8G 8GB,DDR4,13550,8,,
Kingston 9905678-028.A00G 8GB,DDR4,13400,8,,
Kingston 9905678-033.A00G 4GB,DDR4,13250,4,,
Corsair CMK8GX4M1A2400C16 8GB,DDR4,13250,8,,
Essencore Limited KD4AGS88A-26N1600 16GB,DDR4,13250,16,,
Ramaxel Technology RMUA5090KE68H9F2133 4GB,DDR4,13200,4,,
A-DATA Technology AX4S2800316G18-B 16GB,DDR4,13150,16,,
Crucial Technology CT16G4DFD824A.C16FBD 16GB,DDR4,13150,16,,
Samsung M471A1G44BB0-CWE 8GB,DDR4,13150,8,,
Samsung M471A1G44AB0-CWE 8GB,DDR4,13100,8,,
Corsair CM4X32GE2666C18S2 32GB,DDR4,13050,32,,
Micron Technology 4ATF51264AZ-2G3E1 4GB,DDR4,12950,4,,
Corsair CMK32GX4M4A2400C12 8GB,DDR4,12850,8,,
Kingston 9905678-006.A00G 4GB,DDR4,12850,4,,
Corsair CMK16GX4M4A2400C16 4GB,DDR4,12850,4,,
Crucial Technology CT16G4SFD824A.M16FB 16GB,DDR4,12850,16,,
G Skill Intl F4-2133C15-4GRR 4GB,DDR4,12800,4,,
Corsair CMK16GX4M4A2133C13 4GB,DDR4,12800,4,,
Avant Technology J642GU42J7240N2 16GB,DDR4,12700,16,,
Team Group Inc. Team-Elite-2133 4GB,DDR4,12600,4,,
Crucial Technology BLS16G4S240FSD.16FBD 16GB,DDR4,12600,16,,
G Skill Intl F4-2800C15-16GRKD 16GB,DDR4,12500,16,,
Wilk Elektronik S.A. GR2133S464L15/16G 16GB,DDR4,12450,16,,
Mushkin 99[2/7/4]191F 4GB,DDR4,12400,4,,
Crucial Technology CT16G4SFD8213.M16FB 16GB,DDR4,12300,16,,
Essencore Limited KD48GU88C-26N190A 8GB,DDR4,12200,8,,
G Skill Intl F4-2666C15-8GRKB 8GB,DDR4,12050,8,,
Crucial Technology CT8G4DFS8213.C8FDD1 8GB,DDR4,14050,8,,
GIGA - BYTE Technology Co Ltd GR26C16S8K1HU408 8GB,DDR4,14050,8,,
Crucial Technology BLS8G4D32AESEK.M8FE1 8GB,DDR4,14050,8,,
Kingston 9905743-043.A00G 16GB,DDR4,13850,16,,
Kingston 9905702-014.A00G 8GB,DDR4,13750,8,,
Crucial Technology CT8G4DFD824A.C16FBR2 8GB,DDR4,13650,8,,
Crucial Technology CT8G4DFRA32A.C4FE 8GB,DDR4,13600,8,,
Netac Technology Co Ltd E40832A 8GB,DDR4,13600,8,,
Crucial Technology CT8G4SFS8266.C8FD1 8GB,DDR4,13600,8,,
Avexir Technologies Corporation DDR4-3000 CL17 8GB 8GB,DDR4,13550,8,,
Crucial Technology CT8G4DFS8266.M8FD 8GB,DDR4,13550,8,,
Hynix Semiconductor (Hyundai Electronics) HMA81GU6AFR8N-UH 8GB,DDR4,13400,8,,
Samsung M378A2K43BB1-CRC 16GB,DDR4,13400,16,,
Crucial Technology BLS16G4D240FSC.16FBD 16GB,DDR4,13400,16,,
Kingston 9905665-014.A00G 4GB,DDR4,13300,4,,
Kingston 9905678-005.A00G 8GB,DDR4,13200,8,,
G Skill Intl F4-2133C15-16GIS 16GB,DDR4,13200,16,,
Kingston 9905622-058.A00G 8GB,DDR4,13150,8,,
Kingston MSI26D4S9D8ME-16 16GB,DDR4,13100,16,,
Kingston 99U5734-014.A00G 16GB,DDR4,13100,16,,
A-DATA Technology AO2P21FC4R1-BRFS 4GB,DDR4,13000,4,,
Crucial Technology BLS4G4D240FSE.8FAR 4GB,DDR4,12950,4,,
Transcend Information JM2666HLE-16G 16GB,DDR4,12950,16,,
Crucial Technology CT8G4SFS824A.C8FE 8GB,DDR4,12950,8,,
Crucial Technology CT8G4SFS824A.C8FDD1 8GB,DDR4,12900,8,,
Crucial Technology CT8G4SFRA266.C8FD1 8GB,DDR4,12900,8,,
Kingston 9905712-035.A00G 16GB,DDR4,12800,16,,
G Skill Intl F4-2133C15-8GRR 8GB,DDR4,12800,8,,
Crucial Technology CT8G4SFRA266.C8FE 8GB,DDR4,12750,8,,
Crucial Technology CT4G4SFS8213.C8FDD2 4GB,DDR4,12700,4,,
Samsung M378A5143EB1-CPB 4GB,DDR4,12700,4,,
Crucial Technology CT4G4DFS8213.C8FADP 4GB,DDR4,12650,4,,
Crucial Technology CT4G4DFS8213.C8FAD11 4GB,DDR4,12600,4,,
Smart Modular SMS4TDC3C0K0446SCG 4GB,DDR4,12550,4,,
Micron Technology 8ATF1G64HZ-2G1A1 8GB,DDR4,12500,8,,
Kingston KF2666C15S4/8G 8GB,DDR4,12500,8,,
Kingston ACR24D4S7S8MB-8 8GB,DDR4,12450,8,,
Samsung M471A5143DB0-CPB 4GB,DDR4,12450,4,,
A-DATA Technology DDR4 2133 2OZ 8GB,DDR4,12400,8,,
Crucial Technology CT8G4SFS8213.C8FDR1 8GB,DDR4,12200,8,,
Crucial Technology BLS8G4D240FSA.16FAD 8GB,DDR4,12200,8,,
Crucial Technology CT16G4SFD824A.C16FE 16GB,DDR4,12100,16,,
Crucial Technology CT8G4SFD8213.C16FBD2 8GB,DDR4,12100,8,,
Micron Technology 8ATF1G64HZ-2G3B2 8GB,DDR4,12100,8,,
Mushkin 99[2/7/4]192F 4GB,DDR4,11650,4,,
Kingston 99U5700-027.A00G 8GB,DDR4,11650,8,,
Kingston 9905712-010.A00G 16GB,DDR4,11550,16,,
G Skill Intl F4-4000C18-8GTZKK 8GB,DDR4,11100,8,,
Corsair CMK16GX4M2Z3466C16 8GB,DDR4,14950,8,,
V-Color Technology Inc. TL8G36818C-E0P2AAK 8GB,DDR4,14100,8,,
Kingston ACR32D4S2S8ME-16 16GB,DDR4,13900,16,,
Essencore Limited IM44GU48N26-GIIHA0 4GB,DDR4,13700,4,,
